CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
15x9_1   ;0.2844579;0.0000000;2.6383156;2.0362556
15x10_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x11_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x12_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x13_1  ;0.1948145;0.0000000;2.4437409;1.8416809
15x14_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x15_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x16_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x17_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x18_1  ;0.2844579;0.0000000;2.6383156;2.0362556
15x19_1  ;0.1948145;0.0000000;2.4437409;1.8416809
15x20_1  ;0.8419826;0.2399226;0.4353774;0.0000000
15x21_1  ;0.1911576;0.0000000;1.5969229;0.9948629
15x23_1  ;0.1911576;0.0000000;1.5969229;0.9948629
15x24_1  ;0.8419826;0.2399226;0.4353774;0.0000000
15x25_1  ;0.8419826;0.2399226;0.4353774;0.0000000
15x26_1  ;0.1911576;0.0000000;1.5969229;0.9948629
16x6_1   ;0.1948145;0.0000000;2.4437409;1.8416809
16x7_1   ;0.1948145;0.0000000;2.4437409;1.8416809
16x9_1   ;0.2844579;0.0000000;2.6383156;2.0362556
16x10_1  ;0.1948145;0.0000000;2.4437409;1.8416809
16x11_1  ;0.1948145;0.0000000;2.4437409;1.8416809
16x12_1  ;0.1948145;0.0000000;2.4437409;1.8416809
16x13_1  ;0.1948145;0.0000000;2.4437409;1.8416809
16x14_1  ;0.2844579;0.0000000;2.6383156;2.0362556
16x15_1  ;0.2844579;0.0000000;2.6383156;2.0362556
16x16_1  ;0.2844579;0.0000000;2.6383156;2.0362556
16x17_1  ;0.2844579;0.0000000;2.6383156;2.0362556
16x18_1  ;0.2844579;0.0000000;2.6383156;2.0362556
16x19_1  ;0.1948145;0.0000000;2.4437409;1.8416809
16x20_1  ;0.1948145;0.0000000;2.4437409;1.8416809
16x21_1  ;0.8419826;0.2399226;0.4353774;0.0000000
16x22_1  ;0.1911576;0.0000000;1.5969229;0.9948629
16x23_1  ;0.1911576;0.0000000;1.5969229;0.9948629
16x24_1  ;0.8419826;0.2399226;0.4353774;0.0000000
16x25_1  ;0.8419826;0.2399226;0.4353774;0.0000000
16x26_1  ;0.1911576;0.0000000;1.5969229;0.9948629
17x6_1   ;0.2844579;0.0000000;2.6383156;2.0362556
17x7_1   ;0.1948145;0.0000000;2.4437409;1.8416809
17x8_1   ;0.1948145;0.0000000;2.4437409;1.8416809
17x9_1   ;0.1948145;0.0000000;2.4437409;1.8416809
17x10_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x11_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x12_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x13_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x14_1  ;0.2844579;0.0000000;2.6383156;2.0362556
17x15_1  ;0.2844579;0.0000000;2.6383156;2.0362556
17x16_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x17_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x18_1  ;0.2844579;0.0000000;2.6383156;2.0362556
17x19_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x20_1  ;0.1948145;0.0000000;2.4437409;1.8416809
17x22_1  ;0.8419826;0.2399226;0.4353774;0.0000000
17x23_1  ;0.8419826;0.2399226;0.4353774;0.0000000
17x24_1  ;0.1911576;0.0000000;1.5969229;0.9948629
17x25_1  ;0.1911576;0.0000000;1.5969229;0.9948629
17x26_1  ;0.1911576;0.0000000;1.5969229;0.9948629
18x6_1   ;0.2844579;0.0000000;2.6383156;2.0362556
18x7_1   ;0.2844579;0.0000000;2.6383156;2.0362556
18x8_1   ;0.1948145;0.0000000;2.4437409;1.8416809
18x9_1   ;0.1948145;0.0000000;2.4437409;1.8416809
18x10_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x11_1  ;0.2844579;0.0000000;2.6383156;2.0362556
18x12_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x13_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x14_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x15_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x16_1  ;0.2844579;0.0000000;2.6383156;2.0362556
18x17_1  ;0.2844579;0.0000000;2.6383156;2.0362556
18x18_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x19_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x20_1  ;0.8419826;0.2399226;0.4353774;0.0000000
18x21_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x22_1  ;0.1948145;0.0000000;2.4437409;1.8416809
18x23_1  ;0.8419826;0.2399226;0.4353774;0.0000000
18x24_1  ;0.8419826;0.2399226;0.4353774;0.0000000
18x25_1  ;0.8419826;0.2399226;0.4353774;0.0000000
18x26_1  ;0.1911576;0.0000000;1.5969229;0.9948629
19x7_1   ;0.2844579;0.0000000;2.6383156;2.0362556
19x8_1   ;0.1948145;0.0000000;2.4437409;1.8416809
19x9_1   ;0.1948145;0.0000000;2.4437409;1.8416809
19x10_1  ;0.1948145;0.0000000;2.4437409;1.8416809
