median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);cluster
4162.0    ;25321.0   ;0.09357378;3.699013  ;2.920862  ;cluster_0 
4374.5    ;27910.0   ;0.09430237;4.000043  ;3.221892  ;cluster_1 
4350.0    ;27696.5   ;0.09525140;4.000043  ;3.221892  ;cluster_2 
4612.0    ;31261.0   ;0.09349438;3.699013  ;2.920862  ;cluster_3 
4095.0    ;23806.0   ;0.09472557;3.699013  ;2.920862  ;cluster_4 
4526.0    ;30282.0   ;0.09640655;4.000043  ;3.221892  ;cluster_5 
