median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
4162.0    ;25321.0   ;0.05221920;1.359562  ;0.5814107 ;0.4761785 ;4.000043  ;3.221892  ;cluster_0 
4374.5    ;27910.0   ;0.04836692;1.253409  ;0.4752580 ;0.4608609 ;4.000043  ;3.221892  ;cluster_1 
4350.0    ;27696.5   ;0.05551413;1.448593  ;0.6704422 ;0.4668245 ;4.000043  ;3.221892  ;cluster_2 
4612.0    ;31261.0   ;0.04742671;1.222617  ;0.4444654 ;0.4637320 ;4.000043  ;3.221892  ;cluster_3 
4095.0    ;23806.0   ;0.05431914;1.410094  ;0.6319426 ;0.4773141 ;4.000043  ;3.221892  ;cluster_4 
4526.0    ;30282.0   ;0.04883646;1.254969  ;0.4768174 ;0.4835475 ;4.000043  ;3.221892  ;cluster_5 
