median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
 615.0      ; 993        ;-0.01685491 ;0.0109052031;0           ;-0.005085269;0.3134965   ;0           ;cluster_0   
 689.5      ;1173        ;-0.01228987 ;0.0493378925;0           ; 0.010441540;0.7117942   ;0           ;cluster_1   
1434.0      ;3213        ;-0.01901042 ;0.0074457312;0           ;-0.008554071;0.2453894   ;0           ;cluster_2   
 530.0      ; 888        ;-0.01759778 ;0.0094825973;0           ;-0.005572391;0.3094044   ;0           ;cluster_3   
 535.0      ; 800        ;-0.01241563 ;0.0407157813;0           ; 0.003799353;0.5630861   ;0           ;cluster_4   
1624.0      ;3521        ;-0.01165004 ;0.0558569660;0           ;-0.003540561;0.3243567   ;0           ;cluster_5   
1246.0      ;2382        ;-0.02273597 ;0.0047154182;0           ; 0.006014588;0.5283118   ;0           ;cluster_6   
2031.0      ;5941        ;-0.03432980 ;0.0007388549;0           ; 0.009689315;0.5015950   ;0           ;cluster_7   
