median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
 615.0       ; 993         ;-0.01669231  ;0.0098822344 ;0            ; 0.0005604084;0.5453510    ;0            ;cluster_0    
 689.5       ;1173         ;-0.01392118  ;0.0308605680 ;0            ; 0.0089210698;0.6556512    ;0            ;cluster_1    
1434.0       ;3213         ;-0.01780855  ;0.0096157688 ;0            ;-0.0018794794;0.4263597    ;0            ;cluster_2    
 530.0       ; 888         ;-0.01767558  ;0.0076224712 ;0            ;-0.0027094790;0.4311380    ;0            ;cluster_3    
 535.0       ; 800         ;-0.01263178  ;0.0348887813 ;0            ; 0.0061913820;0.5981262    ;0            ;cluster_4    
1624.0       ;3521         ;-0.01157797  ;0.0528548618 ;0            ; 0.0150541644;0.7622484    ;0            ;cluster_5    
1246.0       ;2382         ;-0.02244720  ;0.0047154182 ;0            ; 0.0123544790;0.6548658    ;0            ;cluster_6    
2031.0       ;5941         ;-0.03450619  ;0.0004779391 ;0            ; 0.0048194935;0.4297340    ;0            ;cluster_7    
