Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CD;7;Genetic_all;pcw12_HFGA_A8
significant genetic all;CD;0;Genetic_all;pcw12_HFGA_A8
N/A;CD;7;Genetic_top;pcw12_HFGA_A8
n.s. drugs all;CD;7;Drugs_all;pcw12_HFGA_A8
significant drugs all;CD;0;Drugs_all;pcw12_HFGA_A8
n.s. genetic all;IBD;7;Genetic_all;pcw12_HFGA_A8
significant genetic all;IBD;0;Genetic_all;pcw12_HFGA_A8
N/A;IBD;7;Genetic_top;pcw12_HFGA_A8
n.s. drugs all;IBD;5;Drugs_all;pcw12_HFGA_A8
significant drugs all;IBD;2;Drugs_all;pcw12_HFGA_A8
n.s. genetic all;LID;7;Genetic_all;pcw12_HFGA_A8
significant genetic all;LID;0;Genetic_all;pcw12_HFGA_A8
n.s. genetic top;LID;7;Genetic_top;pcw12_HFGA_A8
significant genetic top;LID;0;Genetic_top;pcw12_HFGA_A8
n.s. drugs all;LID;0;Drugs_all;pcw12_HFGA_A8
significant drugs all;LID;7;Drugs_all;pcw12_HFGA_A8
n.s. genetic all;UC;7;Genetic_all;pcw12_HFGA_A8
significant genetic all;UC;0;Genetic_all;pcw12_HFGA_A8
n.s. genetic top;UC;7;Genetic_top;pcw12_HFGA_A8
significant genetic top;UC;0;Genetic_top;pcw12_HFGA_A8
n.s. drugs all;UC;4;Drugs_all;pcw12_HFGA_A8
significant drugs all;UC;3;Drugs_all;pcw12_HFGA_A8
