median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
2124.5       ; 4548.5      ; 0.0066561521;0.5400482    ;0            ;0.07615487   ;2.585070     ;1.6308276    ;cluster_0    
1605.5       ; 3374.5      ; 0.0020894757;0.3704300    ;0            ;0.11406132   ;4.000043     ;3.0458009    ;cluster_1    
3263.0       ; 8084.0      ;-0.0007747808;0.2872254    ;0            ;0.10542873   ;3.699013     ;2.7447709    ;cluster_2    
4231.5       ;12062.5      ; 0.0013174393;0.3458669    ;0            ;0.05816876   ;1.815352     ;0.8611095    ;cluster_3    
1249.0       ; 2203.5      ; 0.0017063184;0.3594626    ;0            ;0.08765970   ;3.154945     ;2.2007029    ;cluster_4    
2396.0       ; 4677.0      ; 0.0059095512;0.5156012    ;0            ;0.05369703   ;1.818200     ;0.8639573    ;cluster_5    
2903.0       ; 6246.0      ; 0.0028283454;0.3944152    ;0            ;0.05078849   ;1.667605     ;0.7133625    ;cluster_6    
4115.5       ;11665.0      ;-0.0031277776;0.2294860    ;0            ;0.11190463   ;3.699013     ;2.7447709    ;cluster_7    
4850.0       ;13771.0      ;-0.0107104415;0.1003870    ;0            ;0.12305679   ;3.699013     ;2.7447709    ;cluster_8    
