median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
2124.5     ; 4548.5    ;0.026158725;1.8125227  ;0.85828020 ;0.08202703 ;4.000043   ;3.045801   ;cluster_0  
1605.5     ; 3374.5    ;0.024292642;1.6091083  ;0.65486581 ;0.10492606 ;4.000043   ;3.045801   ;cluster_1  
3263.0     ; 8084.0    ;0.011069922;0.7532987  ;0.00000000 ;0.10568137 ;4.000043   ;3.045801   ;cluster_2  
4231.5     ;12062.5    ;0.008952683;0.6402079  ;0.00000000 ;0.08613096 ;4.000043   ;3.045801   ;cluster_3  
1249.0     ; 2203.5    ;0.015843670;1.0092607  ;0.05501823 ;0.08996511 ;3.699013   ;2.744771   ;cluster_4  
2396.0     ; 4677.0    ;0.022754522;1.5361504  ;0.58190793 ;0.07053601 ;3.301073   ;2.346831   ;cluster_5  
2903.0     ; 6246.0    ;0.016897903;1.1113025  ;0.15705996 ;0.07480566 ;3.397983   ;2.443741   ;cluster_6  
4115.5     ;11665.0    ;0.010079704;0.6874430  ;0.00000000 ;0.10815182 ;4.000043   ;3.045801   ;cluster_7  
4850.0     ;13771.0    ;0.006696901;0.5259729  ;0.00000000 ;0.11954217 ;4.000043   ;3.045801   ;cluster_8  
