symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
STARD9	0.4240491031174348	No data	0.697528575264483	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	-0.10204081632653061	-0.22574289577974915	0	No data	No data	No data	-1	0
RGS6	0.42333078392029	No data	0.6920798271391488	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0853433518047114	No data	No data	No data	0	0	0	0	0	0.887755	No data	-0.4864864864864865	-0.5716429955725768	0	No data	No data	-0.27550999999999987	0.5	0
MAD1L1	0.42150038177795307	No data	0.6856671056262712	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15338033134162388	No data	No data	No data	0	0	0	0	0	0.04596000000000018	No data	0.4257032542746828	-0.7005659674286879	0	No data	No data	No data	-1	-1
GRM3	0.4202579408976836	No data	0.6825972898917485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17390222791900797	No data	No data	0.7	1	0	1	1	0	0.83504	0	-0.6976282404853833	-0.2324989359228255	0	255	No data	-0.1837325	1	0.5
TFAP2B	0.41593081910489754	No data	0.6811349605222872	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0	0	0	0	0	0.9891300000000001	No data	-0.8431329288472146	-0.9443973986437859	0	255	No data	-0.28260749999999996	0.5	0.5
RBFOX1	0.4087260820484395	No data	0.6686485592806707	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07349619699666352	No data	No data	No data	0	0	0	0	0	0.9118400000000001	No data	-0.8782129067843354	0	0	No data	No data	-0.1057925000000001	0.5	0.5
ALOX5AP	0.4085985985571833	No data	0.6721136684676042	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7	0	0	1	1	1	0.596275	1	-0.2952013237727523	-0.2478781510434408	0	No data	No data	0	0.75	-1
SNAP91	0.40758200269772243	No data	0.670441445472068	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6471899999999998	No data	-0.775399889685604	-0.8506876496067647	0	No data	No data	0	0.5	0
PAX5	0.40755343370239416	No data	0.6683648071283926	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04059289031385596	No data	No data	No data	0	0	0	0	0	0.9616349999999997	No data	-0.8370656370656371	-0.8623418581260767	0	No data	255	-0.2902825	1	0.5
TENM4	0.40581625833696977	No data	0.6634547792160461	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0816430172205975	No data	No data	No data	1	0	0	0	0	0.8031799999999997	No data	-0.77573083287369	-0.8817217747665825	0	No data	No data	-0.1729875	0.5	0
NMUR2	0.4057685918987563	No data	0.6659386954116463	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	1	1	0	0	No data	0.538665195808053	-0.28390285524790143	0	No data	No data	0	0.5	0.5
GABRA1	0.4027303366262235	0.5909425092116962	0.2802341181147705	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06569030007525571	No data	No data	1	1	0	1	1	0	0.923245	No data	-0.9006067291781578	-0.906165811564083	0	255	No data	-0.38596499999999984	0.75	0.5
SLC39A8	0.4019609840045644	No data	0.6611952965432074	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.4673900000000003	No data	-0.566023166023166	-0.9246505496407387	0	255	No data	0	0.5	0
SPATS2L	0.39866974561621216	No data	0.6557814593083074	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4713250000000002	No data	-0.4070601213458356	No data	0	No data	No data	0	-1	-1
CNTN4	0.39825128558959594	No data	0.653130014472204	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03926219734575053	No data	No data	No data	1	1	0	0	0	0.756335	No data	-0.399669056811914	No data	0	No data	No data	-0.11062249999999985	0.5	0
TSNARE1	0.3951549723229109	No data	0.6480241490362272	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03951550184475537	No data	No data	No data	0	0	0	0	0	No data	No data	0.11748483177054614	No data	0	No data	No data	0	-1	-1
CTSF	0.3951224718679248	No data	0.6484266363538441	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	1	1	1	0	No data	0.5073359073359074	-0.6685046527169747	0	No data	No data	0	0.5	0
ZNF804A	0.3932418765126635	No data	0.6355312018013459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2264364997312202	No data	No data	No data	0	0	0	0	0	0	No data	-0.827357970215113	-0.5333810177972056	0	255	No data	0	0.5	0.5
FUBP1	0.3922557248781172	No data	0.6452308822306306	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	0.8913049999999998	No data	-0.9044677330391616	-0.9214103499111511	0	No data	255	-0.1537275000000001	-1	-1
OLFM4	0.3872721637489806	No data	0.6370333025904552	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	No data	0.33800330943188084	-0.1973021442123321	0	No data	No data	0	0.5	0
NGEF	0.38661922522697834	No data	0.6359592683014087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	-0.6889134031991175	No data	0	No data	No data	0	0.5	0
SYNE1	0.3858176177239811	No data	0.6292930647744958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10695240106053269	No data	No data	No data	0	0	0	0	0	0.2457650000000001	No data	-0.616988416988417	-0.9100222504506494	0	No data	No data	0	-1	-1
SORCS3	0.3842574735445826	No data	0.6304869912585682	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03174749720860688	No data	No data	No data	1	0	0	0	0	0.6194749999999999	No data	-0.6720353006067292	-0.1250770947412433	0	No data	No data	-0.030277500000000047	0.5	0.5
GRIK3	0.38317129264653954	0.5854542450665914	0.17717221208400305	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	1	1	0	0	1	0	0.9510350000000003	No data	-0.7998896856039713	-0.26582229596580215	0	255	No data	-0.44505000000000017	0.5	0
SHANK2	0.3784879516553336	No data	0.61851380697093	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08140267475893465	No data	No data	No data	1	0	0	0	0	0.46728000000000025	No data	-0.7756205184776613	-0.7253781120135219	No data	No data	No data	0	0.5	0
XPNPEP1	0.37739196664602426	No data	0.620781128590104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2	0	0	0	1	0	0.4819800000000001	No data	-0.6380584666298952	-0.8432396531674893	0	No data	No data	0	-1	-1
