symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ESAM	0.5238092989013854	No data	0.859279233870539	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.046945767148897415	No data	No data	No data	0	0	0	0	0	0	No data	0.07104247104247108	-0.626850977580034	0	No data	No data	0	-1	-1
ZNF804A	0.5175651060917636	No data	0.8256480203367489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.514145577206704	No data	No data	No data	0	0	0	0	0	0	No data	-0.827357970215113	-0.5333810177972056	0	255	No data	0	0.5	0.5
TMTC1	0.5095766468562556	No data	0.836303454593671	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03822871498981077	No data	No data	No data	0	0	0	0	0	0.4104300000000002	No data	-0.27887479316050745	No data	0	No data	No data	0	-1	0
PJA1	0.5088016303428028	No data	0.8336048711243754	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0667035180712751	No data	No data	No data	0	0	0	0	0	0	No data	No data	-0.5467128407809471	0	No data	No data	0	0.5	-1
PPP1R16B	0.5086468043990253	No data	0.8350135604134076	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	0.8236350000000001	No data	-0.8127964699393271	No data	0	No data	No data	0	0.5	0
CSMD1	0.5061185818780879	No data	0.8088477326298122	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.35474786154411136	No data	0.2673679647895909	No data	0	0	0	0	0	0.6745249999999998	No data	-0.5865416436845008	-0.2684267109140778	0	No data	No data	-0.13440000000000013	0.75	0.5
BCL11B	0.502691095265243	No data	0.8227172863901506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08342788854169399	No data	No data	No data	0	0	0	0	0	0.6700200000000003	No data	-0.728626585769443	-0.8417979750908335	0	No data	No data	0	0.75	0
ZSWIM6	0.5015327973128209	No data	0.8141331178106809	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21700501655952678	No data	No data	No data	0	0	0	0	0	0.8230449999999998	No data	-0.9812465526751241	-0.7848218948782184	0	No data	No data	-0.2674900000000001	-1	-1
CHRNA3	0.5001708618944289	No data	0.8148946093090785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1569695796460941	No data	No data	1	1	0	1	1	0	0.5148499999999998	No data	0.17562051847766136	-0.8059590831228897	0	255	No data	-0.06930750000000004	0.75	0.5
CACNA1C	0.4992325962493149	No data	0.7943312077034309	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5373700969432054	No data	No data	1	1	0	1	1	0	0.7708150000000004	No data	-0.9643684500827358	-0.9658759542135883	0	255	No data	-0.17212250000000004	0.5	0
