symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
BIN1	0.5547057890274468	No data	0.8638176505362819	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9726250376548885	No data	No data	No data	0	0	0	0	0	0	No data	-0.2583563154991726	-0.8051421529011327	0	No data	No data	0	0.75	-1
CDKN2B	0.5531421294534669	No data	0.37482210579400477	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8142840046102876	No data	No data	0.08492715425528859	No data	No data	No data	0	0	0	0	0	0.09420500000000018	No data	0.8688361831218974	-0.4782224558601425	0	No data	No data	-0.4384049999999998	0.5	0
PLCG2	0.55138545916762	No data	0.8613081095728511	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9135820469941067	No data	No data	No data	0	0	0	1	0	0.7075099999999999	No data	-0.7297297297297297	-0.8158814739046194	0	No data	No data	0	0.5	0
NCK2	0.5487826684396903	No data	0.8004527457841842	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3903072934014509	No data	No data	0.2104312355342073	No data	No data	No data	0	0	0	0	0	0.80263	No data	-0.39459459459459456	No data	0	No data	No data	-0.2105274999999999	-1	-1
MS4A6A	0.5383166652061998	No data	0.8618911618052509	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.47197752809661453	No data	No data	No data	0	0	0	0	0	0	No data	0.5428571428571429	No data	0	No data	No data	0	-1	-1
SCARB1	0.5345305649908763	No data	0.4936314592914955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.748716758811487	No data	No data	0.32119052453309466	No data	No data	No data	0	0	1	1	0	0	0	-0.42162162162162165	-0.9411117876125715	0	No data	No data	0	0.75	0
MTMR3	0.5262820110553627	No data	0.15293033017902088	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.37395500000000015	No data	-0.8843905129619415	-0.23926348447979723	0	No data	No data	0	0.5	-1
CDKN2A	0.5252849051254936	No data	0.03915232104533109	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8172794925690077	No data	No data	0.8484806391270234	No data	No data	No data	0	0	0	0	0	0	No data	-0.29994484280198563	-0.7143642596072841	0	No data	255	-0.21474249999999984	0.5	0
PICALM	0.5190691988271273	No data	0.807712489767195	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9223385553827118	No data	No data	No data	0	0	0	0	0	0.8849699999999998	No data	-0.508108108108108	-0.8383679562509885	0	No data	No data	0	-1	-1
CD2AP	0.5188400429995826	No data	0.8074212452292436	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9206245674257773	No data	No data	No data	1	0	0	0	0	0.31142499999999984	No data	-0.26177606177606183	-0.8137095355930937	0	No data	No data	0	-1	-1
