"Adrb1"
"Hmgcr"
"Adrb2"
"Adra1b"
"P2ry12"
"Adrb3"
"Cacna1c"
"Cacna1d"
"Itgb3"
"Ace"
"Ptgs1"
"Ptgs2"
"Nr3c2"
"Itga2b"
"Gucy1b1"
"F2r"
"Tubb2a"
"Tubb2b"
"Tubb3"
"Tubb4a"
"Tubb4b"
"Tubb5"
"Pcsk9"
"Vkorc1"
"Epor"
"Dpp4"
"Glp1r"
"Mme"
"Drd2"
"Fkbp1a"
"Hrh1"
"Htr3a"
"Htr4"
"Csf3r"
"Pde3a"
"Insr"
"Chrm3"
"Faah"
"Ppard"
"Rock1"
"Rock2"
"Scn1a"
"Scn2a"
"Scn3a"
"Scn5a"
"Scn7a"
"Scn8a"
"Scn9a"
"Ppia"
"Kcnh2"
"Thra"
"Thrb"
"Adora1"
"Adora2a"
"Adora2b"
"Il1r1"
"Esr1"
"Pde3b"
"Tnnc1"
"Tnnt2"
"Gabra1"
"Gabra2"
"Gabra3"
"Gabra4"
"Gabra5"
"Gabrb1"
"Gabrb2"
"Gabrb3"
"Gabrd"
"Gabre"
"Gabrg1"
"Gabrg2"
"Gabrg3"
"Gabrq"
"Kcnk10"
"Kcnk2"
"Kcnk3"
"Kcnk9"
"Dhfr"
"Npr1"
"Prkcd"
"Ednra"
"Egln1"
"Egln2"
"Egln3"
"Enpep"
"Hcn4"
"Il6ra"
"Nr3c1"
"Oxtr"
"P4htm"
"Pik3cd"
