"Scn5a"
"Scn1a"
"Scn2a"
"Scn3a"
"Scn7a"
"Scn8a"
"Scn9a"
"Sod1"
"Pde3a"
"Aldh5a1"
"Pde3b"
"Tnnc1"
"Tnnt2"
"Grin2a"
"Cnr1"
"Sigmar1"
"Fgfr3"
"Kit"
"Pdgfra"
"Pdgfrb"
"Igf1r"
"Drd2"
"Grin1"
"Grin2b"
"Grin2c"
"Grin2d"
"Grin3a"
"Htr2a"
"Esr1"
"Gsk3b"
"Gria1"
"Gria2"
"Gsk3a"
"Impa1"
"Htr2c"
"Maob"
"Rock1"
"Rock2"
"Cd14"
"Pde10a"
"Pde4a"
"Pde4b"
"Pde4d"
"Pde5a"
"Nr3c1"
"Chrm1"
"Crbn"
"Csf3r"
"Cul4a"
"Ddb1"
"Drd1"
"Drd5"
"Fkbp1a"
"Ptgs2"
"Rbx1"
"S1pr1"
"S1pr2"
"S1pr3"
"S1pr5"
"Gria3"
"Gria4"
"Rtn4"
"Adra2a"
"Adra2c"
"Adrb2"
"Chrm2"
"Chrm3"
"Ghr"
"Il1r1"
"Il6ra"
"Impdh1"
"Impdh2"
"Kcnq2"
"Kcnq3"
"Kcnq4"
"Kcnq5"
"Srd5a1"
"Srd5a3"
"Tubb2a"
"Tubb2b"
"Tubb3"
"Tubb4a"
"Tubb4b"
"Tubb5"
"Adora2a"
"Ddc"
"Flt1"
"Kdr"
"Abl1"
"Adora1"
"Adora2b"
"Bcr"
"Epor"
"Gabra1"
"Gabra2"
"Gabra3"
"Gabra5"
"Gabrg1"
"Gabrg2"
"Gabrg3"
"Hck"
"Hrh2"
"Lyn"
"Map2k1"
"Map2k2"
"Rara"
"Rarb"
"Rarg"
"Src"
