"Scn5a"
"Scn1a"
"Scn2a"
"Scn3a"
"Scn7a"
"Scn8a"
"Scn9a"
"Adrb2"
"Adra2a"
"Adra2c"
"Adra1b"
"Adrb1"
"Adrb3"
"Smn1"
"Aldh5a1"
"Sod1"
"Pde3a"
"Grin2a"
"Pde3b"
"Tnnc1"
"Tnnt2"
"Cnr1"
"Sigmar1"
"Fgfr3"
"Kit"
"Pdgfra"
"Pdgfrb"
"Igf1r"
"Grin1"
"Grin2b"
"Grin2c"
"Grin2d"
"Grin3a"
"Drd2"
"Htr2a"
"Esr1"
"Gsk3b"
"Kcnq2"
"Kcnq3"
"Kcnq4"
"Kcnq5"
"Gria1"
"Gria2"
"Gsk3a"
"Impa1"
"Ache"
"Htr2c"
"Kcna1"
"Kcna2"
"Kcna4"
"Kcna5"
"Kcna6"
"Kcnb1"
"Kcnb2"
"Kcnc1"
"Kcnc2"
"Kcnc3"
"Kcnc4"
"Kcnd1"
"Kcnd2"
"Kcnd3"
"Kcnf1"
"Kcng1"
"Kcng2"
"Kcng4"
"Kcnh1"
"Kcnh2"
"Kcnh3"
"Kcnh4"
"Kcnh5"
"Kcnh7"
"Kcns1"
"Kcns2"
"Kcns3"
"Kcnv1"
"Maob"
"Ptgs2"
"Rock1"
"Rock2"
"Cd14"
"Pde10a"
"Pde4a"
"Pde4b"
"Pde4d"
"Pde5a"
"Nr3c1"
"Chrm1"
"Crbn"
"Csf3r"
"Cul4a"
"Ddb1"
"Drd1"
"Drd5"
"Fkbp1a"
"Ghr"
"Rbx1"
"S1pr1"
"S1pr2"
"S1pr3"
"S1pr5"
"Rrm2"
"Gria3"
"Gria4"
"Rtn4"
"Chrm2"
"Chrm3"
"Il1r1"
"Il6ra"
"Impdh1"
"Impdh2"
"Srd5a1"
"Srd5a3"
"Tubb2a"
"Tubb2b"
"Tubb3"
"Tubb4a"
"Tubb4b"
"Tubb5"
"Adora2a"
"Ddc"
"Gabra1"
"Gabra2"
"Gabra3"
"Gabra5"
"Gabrg1"
"Gabrg2"
"Gabrg3"
"Flt1"
"Kdr"
"Abl1"
"Adora1"
"Adora2b"
"Bcr"
"Epor"
"Hck"
"Hrh2"
"Lyn"
"Map2k1"
"Map2k2"
"Rara"
"Rarb"
"Rarg"
"Src"
