"Atg7"
"Trib1"
"Eya2"
"Bcl2"
"Rspo3"
"L3mbtl3"
"Hk1"
"Zfp827"
"Jazf1"
"Dlg5"
"Hhip"
"Lepr"
"Zmiz1"
"Apoe"
"Cobll1"
"Eya1"
"Mical3"
"Lpl"
"Exoc3l4"
"Arhgef19"
"Samm50"
"Cdh6"
"Arl15"
"Fto"
"Leprot"
"Vegfa"
"Irs1"
"Map3k1"
"Parvb"
"Akna"
"Prkcd"
"Bud13"
"Chek2"
"Ggt1"
"Ndufaf6"
"Dock7"
"Herpud2"
"Trp53inp1"
"Hic1"
"Mau2"
"Grb2"
"Pbx4"
"Hhex"
"Tkt"
"Pccb"
"H2-Aa"
"Ywhaz"
"Rpgrip1l"
"Efna3"
"Ttc28"
"Apoc1"
"Nbeal2"
"Dnmbp"
"Ide"
"Elovl4"
"Gatad2a"
"Stag1"
"Tsen2"
"Mamstr"
"Usp1"
"Adam15"
"Ankrd55"
"Nelfe"
"Btf3"
"Hmga1"
"Mif4gd"
"Sugp1"
"Ncan"
"Bckdhb"
"Slc25a19"
"Setd2"
"Zpr1"
"Smg6"
"Ptpn23"
"Cebpg"
"Kif9"
"Yjefn3"
"Nedd4l"
"Ndufa13"
"Msl2"
"Ntn5"
"Hsd17b11"
"Ppp2r3a"
"Snx17"
"Klhl18"
"Mtap"
"Klhl8"
"Mier3"
"Tomm40"
"Snrpd3"
"Lrrc75b"
"Ints8"
"Hapln4"
"Efna1"
"Szrd1"
"2210016L21Rik"
"Pepd"
"Foxd1"
"Rasip1"
"Fndc4"
"Tcf7l2"
"Lbhd2"
"C2"
"Scap"
"H2-Eb1"
"Elp6"
"Vti1a"
"Zfp513"
"Kdsr"
"Hscb"
"Ccdc12"
"Mrps7"
"Gga3"
"Hkdc1"
"Cebpa"
"Ovca2"
"Stk19"
"Tspan15"
"Hspb3"
"Malt1"
"Ccne2"
"6030458C11Rik"
"Fbxo42"
