"Ednra"
"Ednrb"
"Gabra1"
"Gabra2"
"Gabra3"
"Gabra4"
"Gabra5"
"Gabrb1"
"Gabrb2"
"Gabrb3"
"Gabrd"
"Gabre"
"Gabrg1"
"Gabrg2"
"Gabrg3"
"Gabrq"
"Kcnk10"
"Kcnk2"
"Kcnk3"
"Kcnk9"
"Hmgcr"
"Adrb2"
"Pde3a"
"Pde3b"
"Tnnc1"
"Tnnt2"
"Nr3c2"
"Adra2a"
"Adra2c"
"Nr3c1"
"Adrb1"
"Thra"
"Thrb"
"Gucy1b1"
"Adra1b"
"Pde5a"
"Adrb3"
"Fkbp1a"
"Ppia"
"Xdh"
"Scn5a"
"Grin1"
"Grin2a"
"Grin2b"
"Grin2c"
"Grin2d"
"Grin3a"
"Ar"
"Car2"
"Car4"
"Gria1"
"Gria2"
"Gria3"
"Gria4"
"Grik1"
"Grik2"
"Grik3"
"Grik4"
"Grik5"
"Scn1a"
"Scn2a"
"Scn3a"
"Scn7a"
"Scn8a"
"Scn9a"
