"Ddc"
"Drd2"
"Grin1"
"Grin2a"
"Grin2b"
"Grin2c"
"Grin2d"
"Grin3a"
"Chrm1"
"Maob"
"Comt"
"Ache"
"Bche"
"Htr2a"
"Chrm3"
"Adora2a"
"Chrm2"
"Adrb1"
"Adra2a"
"Adra2c"
"Scn1a"
"Scn2a"
"Scn3a"
"Scn5a"
"Scn7a"
"Scn8a"
"Scn9a"
"Drd1"
"Drd5"
"Chrna4"
"Chrnb2"
"Adrb3"
"Cacna1b"
"Htr2c"
"Sv2a"
"Snap25"
"Hrh1"
"Gabrg2"
"Gabrb1"
"Gabra1"
"Gabra2"
"Gabra3"
"Gabra5"
"Gabrg1"
"Gabrg3"
"Adrb2"
"Adra1b"
"Gabra4"
"Gabrb2"
"Gabrb3"
"Gabrd"
"Gabre"
"Gabrq"
"Htr1a"
"Clcn2"
"Pola1"
"Pola2"
"Pold1"
"Pold2"
"Pold3"
"Pold4"
"Pole3"
"Prim1"
"Prim2"
"Gria1"
"Gria2"
"Gria3"
"Gria4"
"Hrh3"
"Glp1r"
"Cnr1"
"Adora1"
"Adora2b"
"Cacna1c"
"Cacna1d"
"Oprk1"
"Abl1"
"Bcr"
"Gabbr1"
"Gabbr2"
"Grm5"
"Snca"
"Insr"
"Grm4"
"Hmgcr"
"Car2"
"Car4"
"Csf3r"
"Esr1"
"Grik1"
"Grik2"
"Grik3"
"Grik4"
"Grik5"
"Nqo1"
"Nr3c2"
"Oprl1"
"Pde5a"
"Sigmar1"
"Csf2ra"
"Gfra1"
"Nr3c1"
"Vkorc1"
"Abcc8"
"Epor"
"Faah"
"Fkbp1a"
"Gsk3a"
"Gsk3b"
"Impa1"
"Kcnj11"
"Map3k10"
"Map3k11"
"Map3k12"
"Map3k13"
"Map3k9"
"Ptgs1"
"Ptgs2"
"Rxra"
"Rxrb"
"Rxrg"
"Ugcg"
