"Abcb4"
"Jag1"
"Urod"
"Hmbs"
"Apc"
"Ppox"
"Cpox"
"Nbas"
"Trmu"
"Phkg2"
"Alad"
"Pkd1"
"Hsd3b7"
"Phka2"
"Lrp5"
"Fech"
"Cyp7b1"
"Amacr"
"Tjp2"
"Cldn1"
"Gpd1"
"Notch2"
"Dcdc2a"
"Prkcsh"
"Trp53"
"Ganab"
"Pkd2"
"Alg8"
"Sec63"
"Farsb"
"Brca2"
"Hfe"
"Lars"
"Myo5b"
"Ctnnb1"
"Krt18"
"Ttc39b"
"Brca1"
"Dguok"
"Krt8"
"Zfp827"
"Met"
"Elmo1"
"Nab1"
"Trib1"
"Nfkb1"
"Tet2"
"Blvra"
"Irf8"
"Plcl2"
"Bach2"
"Hkdc1"
"Exoc3l4"
"Tmem163"
"Atg7"
"Manba"
"Rin3"
"Axin1"
"Abcd3"
"Alg9"
"Mvb12b"
"Pik3ca"
"Jazf1"
"H2-Ab1"
"Jak2"
"Aldh2"
"Lrba"
"Piga"
"Rint1"
"Sema4d"
"Tnfrsf1a"
"Foxp1"
"Syngr1"
"Itpa"
"Dnmt3a"
"Rad50"
"Dennd1b"
"Ankrd55"
"Clpx"
"Dync2li1"
"Daglb"
"Ets1"
"Hdac7"
"Irf5"
"Mmel1"
"Eya2"
"Dkk3"
"Prkcb"
"Utp4"
"Mertk"
"Chek2"
"Bcl2"
"Zmiz1"
"Bcl2l11"
"Rspo3"
"Osmr"
"Tcf4"
"Clec16a"
"Sh2b3"
"Litaf"
"Shroom3"
"Anp32b"
"Ptpn2"
"Grik1"
"L3mbtl3"
"Cdkal1"
"Msn"
"Adsl"
"Smad3"
"Reep3"
"Lrp6"
"Hk1"
"Cd6"
"Ksr1"
"Erap1"
"Tpd52"
"Capsl"
"Pus10"
"Igf2r"
"Ano1"
"Dlg5"
"Atp2b4"
"Rasgrp1"
"Arhgef19"
"Slc9a8"
"Spred2"
"Fto"
"Hhip"
"Lepr"
"Apoe"
"Hnf1b"
"Cobll1"
"Tnfaip3"
"Eya1"
"Synj2"
"Zfp831"
"Lacc1"
"Cdk14"
"Itgb8"
"Sh3bp4"
"Tnpo3"
"Inava"
"Ubxn2b"
"Atm"
"Mical3"
"Cdc25a"
"Dhcr7"
"Fh1"
"Msh2"
"Ruvbl1"
"Sec61a1"
"Vhl"
"Inpp5a"
"Ccdc88b"
"Lpl"
"Asap2"
"Dld"
"Adcy3"
"Mtus1"
"St6gal1"
"Grin2a"
"Ikzf1"
"Lrrk2"
"Tyk2"
"Ccl12"
"Ripk2"
"Emp1"
"Mmut"
"Jmjd1c"
"Zbtb40"
"Fbxo34"
"Gna12"
"Ggt1"
"Slc39a11"
"Ercc2"
"Ext2"
"Fbn1"
"Fgfr3"
"Gba"
"Pms2"
"Ret"
"Dhx37"
"Notch4"
"Nfkbia"
"Fosl2"
"Samm50"
"Il16"
"B3gnt2"
"Irf1"
"Pakap"
"Timmdc1"
"Btbd3"
"Cdh6"
"Fads2"
"Zc3h12c"
"Rorc"
"Ifngr2"
"Arl15"
"Park7"
"Arid3a"
"Plcl1"
"Sox4"
"Stat3"
"Ndfip1"
"H2-Aa"
"Syt14"
"Ppp5c"
"Leprot"
"Il6ra"
"Fam118a"
"Pdgfb"
"Tmc4"
"Igtp"
"Skap2"
"Dap"
"Psmg1"
"Rarb"
"Crem"
"Fap"
"Thada"
"Tmbim1"
"Col11a2"
"Ercc5"
"Ahr"
"Cpeb4"
"Zeb2"
"Nbn"
"Foxo1"
"Ptpn3"
"Id2"
"Socs1"
"Astn2"
"Herpud2"
"Pnkd"
"Vegfa"
"Dnmbp"
"Irs1"
"Ado"
"Rps6kb1"
"Rpl3"
"Ddx6"
"Prkd2"
"Ifih1"
"Sgsm1"
"Dclk2"
"Ydjc"
"Lrrc32"
"Map3k1"
"Parvb"
"Galc"
"Atg16l1"
"F5"
"Mal2"
"Fads1"
"Zfp91"
"Satb1"
"Celf4"
"Akna"
"Slc25a28"
"Entpd7"
"Ccdc122"
"Fcho2"
"Mrps23"
"Slc4a1"
"Acta2"
"Ppif"
"Nars"
"Fas"
"Ern1"
"Poglut1"
"Tcf19"
"Prkcd"
"Il2"
"Kdelr2"
"Stard5"
"Efna1"
"Bud13"
"Ptgr1"
"Fos"
"Ndufaf6"
"Osgin2"
"Mamstr"
"Mrgbp"
"Dock7"
"Kif1b"
"Nfat5"
"Srp54a"
"Sbno2"
"Tmem39a"
"Ddrgk1"
"Atxn2"
"Depdc5"
"Rnf7"
"Ubac2"
"Ltbr"
"Npepps"
"Ahdc1"
"Trp53inp1"
"Nelfe"
"Cul2"
"Nsd1"
"Fbh1"
"2210016L21Rik"
"Hic1"
"Tbc1d5"
"Lzts1"
"Dock8"
"Onecut2"
"Prxl2b"
"Ube2l3"
"Arhgap31"
"Mau2"
"Sugp1"
"Pbx4"
"Ccdc113"
"Rpgrip1l"
"Aamp"
"Smurf1"
"Bbs12"
"Skida1"
"Fancd2"
"Fancm"
"Gli3"
"Ptgs2"
"Usp12"
"Stat1"
"Tspan14"
"Sec62"
"Apeh"
"Rac1"
"Irf2bp1"
"Ccr5"
"Nfatc3"
"Grb2"
"Usp25"
"Rfx4"
"Dgke"
"Ric8b"
"Acad10"
"Sik2"
"Tnrc6b"
"Tkt"
"Hhex"
"Ttc33"
"Mllt10"
"Trim13"
"Casp8"
"Hectd3"
"Stk11"
"Pccb"
"Scnn1a"
"Gatd3a"
"Ywhaz"
"Zfp366"
"Brap"
"Fdft1"
"Mast3"
"Tnks"
"B3galt6"
"Dis3l2"
"Drosha"
"Egfr"
"Ep300"
"Fah"
"Fbxo11"
"Flcn"
"Flna"
"Frmpd1"
"Hif1a"
"Kdr"
"Msh6"
"Ndrg4"
"Nynrin"
"Recql"
"Rps19"
"Slx4"
"Tgfbr2"
"Rdx"
"Errfi1"
"Tmem147"
"Edn3"
"Gpr12"
"Bsn"
"Rnft1"
"Pgd"
"Fam227a"
"Efna3"
"Nxpe4"
"Uqcrb"
"Ttc28"
"Tmem17"
"Atg5"
"Hapln4"
"Lias"
"Apoc1"
"Gatad2a"
"Bcl7b"
"Mterf3"
"Nbeal2"
"Prkdc"
"Schip1"
"Mterf1a"
"Mypop"
"Ets2"
"Ide"
"Tmem258"
"Ctsb"
"Krtcap2"
"Elovl4"
"Kidins220"
"Stag1"
"Ywhah"
"Kif21b"
"Coro1a"
"Ncan"
"Tbl2"
"Dexi"
"Tsen2"
"Gpx1"
"Icosl"
"Nrbf2"
"Ptprk"
"Otud3"
"Ptdss1"
"Icam2"
"Tmem87b"
"Nrip1"
"Usp1"
"C1qtnf12"
"Dus2"
"Nans"
"Fam167a"
"Ublcp1"
"Tubd1"
"Adam15"
"Akap11"
"Neu4"
"Cchcr1"
"Myrf"
"Btf3"
"Mapt"
"Lancl1"
"Fli1"
"Sdf4"
"Rasip1"
"Hmga1"
"Slx1b"
"Mif4gd"
"Tnpo1"
"Ttc34"
"Arid1a"
"2900026A02Rik"
"Fibp"
"Hsd17b11"
"Lrrc75b"
"Fkrp"
"Las1l"
"Arf1"
"Fam234b"
"Cby1"
"Fndc4"
"Gng10"
"Sbsn"
"Fam177a"
"Fen1"
"Fgf2"
"Zfp646"
"Mrpl55"
"Emsy"
"Sympk"
"Cyb5b"
"Rps3a1"
"Ndufa13"
"Rpl7a"
"Gpx4"
"Adamts13"
"Mboat7"
"Atp6v1b2"
"Top2b"
"Bckdhb"
"Sh3d19"
"Slc25a19"
"Rsbn1"
"Dok6"
"Setd2"
"Zdhhc18"
"Yjefn3"
"Ntn5"
"Fdx2"
"Slc12a4"
"Bri3bp"
"Commd7"
"Dmkn"
"Zpr1"
"Smg6"
"Snx17"
"Ormdl3"
"Aagab"
"Zfp322a"
"Abcb1a"
"Rhoa"
"Ptpn23"
"Rsph3a"
"Uqcr10"
"Mtmr3"
"Snrpd3"
"Rnf145"
"Klhl8"
"Surf1"
"Mrps28"
"Cenpw"
"Plekhh2"
"Dmwd"
"Cebpg"
"Zfp57"
"Ddx17"
"Lbhd2"
"Dmpk"
"Slc50a1"
"Rpl9"
"Kif9"
"Snn"
"Trim32"
"Nedd4l"
"Lgals3"
"Serbp1"
"Ttpal"
"Snapc4"
"Pex13"
"Slc39a8"
"Dleu7"
"Amz1"
"Arpc2"
"Gtpbp1"
"Msl2"
"Strn4"
"Dag1"
"Amt"
"Tmco4"
"Eri1"
"Ppp2r1b"
"Dnajc25"
"Ift172"
"Cutc"
"Cdh19"
"Prdx5"
"Med22"
"Bivm"
"Zfp513"
"Ppp2r3a"
"Sag"
"Klhl18"
"Wwtr1"
"Mtpap"
"Spryd7"
"Specc1l"
"Zswim8"
"Phtf1"
"Mtap"
"Foxd1"
"Wnt9a"
"Mier3"
"Tomm40"
"Stx1b"
"Lpxn"
"Emc8"
"Supv3l1"
"Ppp1r14b"
"Zfp677"
"Anks1b"
"Zfand4"
"Ints8"
"Ptcd2"
"Ecpas"
"Prdm8"
"Fndc1"
"Zfyve26"
"Sun2"
"Surf4"
"Josd1"
"Gab1"
"Stard3"
"Wasf2"
"Ccdc116"
"Sgsm3"
"Zfp365"
"Mapkapk5"
"Dpm3"
"C2"
"Szrd1"
"Tcta"
"Ccn3"
"Pepd"
"Zbtb12"
"Prkaa1"
"Prorp"
"Perp"
"Trim25"
"Ppp3ca"
"Th"
"Fut11"
"Zc3h12b"
"Nsg2"
"Tmem116"
"Brwd1"
"Gypa"
"Il6st"
"Dnajc1"
"Ascc2"
"Psma6"
"Dnajc27"
"Tcf7l2"
"Arfrp1"
"Gtdc1"
"Rpl21"
"St8sia3"
"Dnlz"
"Kiss1r"
"Seh1l"
"Tomm22"
"Atg14"
"Setd1a"
"Mapk3"
"Kpnb1"
"Scap"
"H2-Eb1"
"Elp6"
"Lgmn"
"Vti1a"
"Mien1"
"Il4ra"
"Adprh"
"Sdcbp"
"Pisd"
"Zeb1"
"Ehmt2"
"Rnf123"
"Kdsr"
"Hscb"
"Cacfd1"
"Rexo4"
"Ccdc12"
"Stx4a"
"Mrps7"
"Sgf29"
"Ngly1"
"Csnk2a2"
"Zmat5"
"Mrps27"
"Ndst2"
"Lgals9"
"Spaca6"
"Mog"
"Pwwp2b"
"Trim46"
"Nrtn"
"Ankrd16"
"Smarca5"
"Commd1"
"Ddx28"
"Psmb10"
"Gga3"
"Washc2"
"Aff1"
"Rasl11a"
"Capn10"
"Naa25"
"Slc2a6"
"Oxsm"
"Atp10b"
"Gabrb2"
"Erbb2"
"Rapgef3"
"Camk2g"
"Thbs3"
"Trafd1"
"Cln3"
"Surf2"
"Stambpl1"
"Cox15"
"Suco"
"Cux2"
"Zfp438"
"Coro2a"
"Rel"
"Pheta1"
"Cntnap2"
"Scgn"
"S100a10"
"Cebpa"
"Mtmr9"
"Wasf3"
"Tmod1"
"Tm9sf2"
"Ovca2"
"Ankrd33b"
"Vkorc1"
"Tspan33"
"Igf2"
"Nr2c2ap"
"Edc4"
"Lamb1"
"Stk19"
"Gpr137"
"Ppp1r11"
"Eif2b4"
"Igsf3"
"Mapre1"
"Tspan15"
"Hspb3"
"Sec24c"
"Malt1"
"Decr1"
"Ism1"
"Gls"
"Ppm1g"
"Ccne2"
"Nicn1"
"Slc12a5"
"Prelid1"
"Tufm"
"Ifngr1"
"6030458C11Rik"
"Smim3"
"Atp13a1"
"Ugdh"
"Rab24"
"Mfhas1"
"Epha8"
"Enox1"
"Mrps31"
"Nsmce2"
"Rxrb"
"Fbxo42"
"Tmem263"
"Spef2"
"Nudc"
"Abcb6"
"Dpagt1"
"Mlh1"
"Nf2"
"Sec61a2"
"Xbp1"
