median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1486.5     ;3398.5     ;0.2287766  ;4.000043   ;3.397983   ; 0.24790252;3.0458009  ;2.4437409  ;cluster_0  
1718.5     ;4233.0     ;0.2307538  ;4.000043   ;3.397983   ; 0.23361653;2.7959234  ;2.1938635  ;cluster_1  
 929.0     ;1748.0     ;0.1482147  ;4.000043   ;3.397983   ; 0.08146706;1.2660441  ;0.6639841  ;cluster_2  
1625.0     ;4060.0     ;0.0949020  ;2.920862   ;2.318802   ;-0.03269277;0.1563125  ;0.0000000  ;cluster_3  
