median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1486.5      ;3398.5      ;-0.017697769;0.06736677  ;0.0000000   ;0.18077020  ;4.0000434   ;3.3979834   ;cluster_0   
1718.5      ;4233.0      ;-0.016575628;0.07835695  ;0.0000000   ;0.18485075  ;4.0000434   ;3.3979834   ;cluster_1   
 929.0      ;1748.0      ;-0.004054433;0.24569509  ;0.0000000   ;0.08131625  ;2.2147136   ;1.6126536   ;cluster_2   
1625.0      ;4060.0      ; 0.025938497;1.12209648  ;0.5200365   ;0.02339051  ;0.7366441   ;0.1345841   ;cluster_3   
