median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1486.5      ;3398.5      ;-0.004762093;0.2844579   ;0.0000000   ;0.135981810 ;2.6383156   ;2.0362556   ;cluster_0   
1718.5      ;4233.0      ;-0.010587187;0.1948145   ;0.0000000   ;0.126002846 ;2.4437409   ;1.8416809   ;cluster_1   
 929.0      ;1748.0      ;-0.011266690;0.1911576   ;0.0000000   ;0.077786235 ;1.5969229   ;0.9948629   ;cluster_2   
1625.0      ;4060.0      ; 0.026488754;0.8419826   ;0.2399226   ;0.008315927 ;0.4353774   ;0.0000000   ;cluster_3   
