median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);cluster
3122.0     ; 8927.0    ;0.005159419;0.4697156  ;0.000000   ;cluster_0  
2474.0     ; 6112.0    ;0.001031649;0.3410786  ;0.000000   ;cluster_1  
3051.0     ; 8318.0    ;0.004965210;0.4643696  ;0.000000   ;cluster_2  
3693.5     ;10755.5    ;0.006934766;0.5380949  ;0.000000   ;cluster_3  
2817.0     ; 6361.0    ;0.008049480;0.5735322  ;0.000000   ;cluster_4  
2938.5     ; 9415.5    ;0.016328877;0.9535483  ;0.175397   ;cluster_5  
