median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3122.0       ; 8927.0      ; 0.0000150317;0.34365771   ;0.0000000    ;0.14336974   ;2.6383156    ;1.8601643    ;cluster_0    
2474.0       ; 6112.0      ;-0.0069200286;0.24516020   ;0.0000000    ;0.11437843   ;2.2518554    ;1.4737041    ;cluster_1    
3051.0       ; 8318.0      ; 0.0086608012;0.49543666   ;0.0000000    ;0.14211340   ;2.4948934    ;1.7167422    ;cluster_2    
3693.5       ;10755.5      ; 0.0329667958;1.00047794   ;0.2223267    ;0.06324387   ;1.1993263    ;0.4211751    ;cluster_3    
2817.0       ; 6361.0      ; 0.0194505696;0.70010053   ;0.0000000    ;0.10166040   ;1.9706596    ;1.1925084    ;cluster_4    
2938.5       ; 9415.5      ;-0.0278504808;0.06549448   ;0.0000000    ;0.05835908   ;0.9285296    ;0.1503784    ;cluster_5    
