Gene,Annotation,Median_GSS,PCC
MSR1,4.0,1.92919921875,0.5299479987194612
PICALM,6.0,2.53125,0.5295419739748719
IGF1,6.0,2.1142578125,0.5295234413616687
CCN2,6.0,4.64453125,0.5280561034165976
CD209,4.0,2.056640625,0.5271897217664918
CALR,6.0,2.4013671875,0.5270217015077869
C11orf96,6.0,3.1328125,0.5269371238172141
NCF1,4.0,1.8935546875,0.5249248239093521
ANXA2,6.0,2.6328125,0.5249105275865944
SH3GL1,6.0,2.1650390625,0.5248845835225697
TAGLN,6.0,2.927734375,0.5235530358618742
ANXA5,6.0,3.234375,0.5232914835916983
SCAMP2,3.0,1.96337890625,0.5227882346895883
ISLR,6.0,2.873046875,0.5226652597663586
CFH,6.0,3.2431640625,0.5222238486409743
SERPINA3,6.0,2.5771484375,0.5220342422215447
TNFRSF1A,6.0,2.63671875,0.5210244485548237
MAFB,4.0,1.970703125,0.52084805326911
CLU,6.0,4.16015625,0.5202454111018162
COLGALT1,6.0,2.5107421875,0.5192097243440585
CCL8,6.0,2.294921875,0.5190767464374562
TYMP,6.0,2.244140625,0.5190098410494735
PRELP,6.0,4.3203125,0.5178417238994428
TMEM176B,3.0,2.08984375,0.5168271645004155
PPIB,6.0,3.28515625,0.5149842752198587
COTL1,4.0,1.97509765625,0.514893241494495
RPN1,6.0,2.08203125,0.5148594496250907
PFKL,6.0,2.384765625,0.5146729194098973
SELENOP,4.0,2.234375,0.5145890766967168
RPL22L1,6.0,2.728515625,0.5142028553853015
PPT1,6.0,2.53125,0.5140865262952531
CCR1,4.0,1.95751953125,0.512759090333218
CYFIP1,6.0,2.85546875,0.5120690900213294
TRAM1,6.0,2.779296875,0.5115296296284289
S100A4,6.0,2.09765625,0.5106512605385355
MARCKS,3.0,2.01953125,0.5102885674845162
ZYX,6.0,3.68359375,0.5102263172015521
CAPZA1,6.0,2.51171875,0.5086025067818484
FBLN2,6.0,3.341796875,0.5082041921921624
C1R,6.0,2.52734375,0.5080963510078311
C4orf48,6.0,2.2978515625,0.507926167317489
CTSL,6.0,2.3486328125,0.5076432553379518
C3AR1,4.0,2.044921875,0.5062118812262708
ZFP36L1,6.0,2.349609375,0.5061770873138732
IFNGR2,6.0,2.763671875,0.5056316031877198
ARHGDIB,3.0,2.150390625,0.504420942195188
C1QTNF1,6.0,5.19140625,0.5033489052834778
SLIT3,6.0,3.41015625,0.5021693286251142
VCAN,6.0,2.828125,0.5004796046913562
ARPC4,6.0,2.7236328125,0.5004168155281911
PCOLCE,3.0,2.5126953125,0.5003147161976494
MAN2B1,6.0,2.0283203125,0.5001110189704964
EMB,4.0,2.087890625,0.4989855626665045
GADD45B,6.0,4.02734375,0.4978863354565082
ARHGDIA,6.0,3.109375,0.4978854400872835
RAB5C,6.0,2.623046875,0.49786584512944015
FOLR2,4.0,2.21875,0.497317967259828
ITGB2,4.0,2.236328125,0.497225637646214
FPR3,4.0,1.8994140625,0.4969786347961334
TNC,6.0,3.326171875,0.49693073632840684
GNB2,6.0,2.912109375,0.49593270685208946
