median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);cluster
1499.5      ;5228.5      ;-0.018355831;0.01023778  ;0           ;cluster_0   
1510.0      ;4515.5      ;-0.017340553;0.01448224  ;0           ;cluster_1   
1583.5      ;4852.0      ;-0.016208068;0.02058611  ;0           ;cluster_2   
1869.0      ;5551.5      ;-0.013445155;0.04114523  ;0           ;cluster_3   
1614.5      ;4831.5      ;-0.014820907;0.02816481  ;0           ;cluster_4   
1555.5      ;5142.0      ;-0.018032357;0.01206451  ;0           ;cluster_5   
2807.0      ;8046.5      ;-0.008733955;0.11377837  ;0           ;cluster_6   
