median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
534.0       ; 868.0      ;-0.015149893;0.021178443 ;0           ;-0.007605514;0.2580257   ;0           ;cluster_0   
723.0       ;1281.0      ;-0.019989482;0.005770278 ;0           ;-0.012185181;0.1769606   ;0           ;cluster_1   
628.0       ; 980.5      ;-0.007788582;0.109231328 ;0           ; 0.005487030;0.6421086   ;0           ;cluster_2   
831.5       ;1544.0      ;-0.007535695;0.119572834 ;0           ;-0.003296968;0.3659694   ;0           ;cluster_3   
662.0       ;1182.0      ;-0.014171693;0.028489274 ;0           ;-0.005519393;0.3095815   ;0           ;cluster_4   
484.5       ; 746.5      ;-0.017992575;0.009083328 ;0           ;-0.016134440;0.1295225   ;0           ;cluster_5   
