median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3378.5    ;16180.5   ;0.10679820;2.920862  ;2.142711  ;0.09389211;1.761997  ;0.9838461 ;cluster_0 
3365.0    ;17061.5   ;0.10902127;3.045801  ;2.267650  ;0.09851299;1.863323  ;1.0851716 ;cluster_1 
2949.5    ;13991.0   ;0.09822706;2.602103  ;1.823952  ;0.09332166;1.737592  ;0.9594411 ;cluster_2 
3450.0    ;17368.0   ;0.11091029;3.045801  ;2.267650  ;0.08431555;1.619832  ;0.8416809 ;cluster_3 
2487.0    ; 8921.0   ;0.10243041;2.744771  ;1.966620  ;0.07466984;1.481529  ;0.7033782 ;cluster_4 
2725.5    ;12730.0   ;0.09511283;2.537645  ;1.759494  ;0.10391276;1.844707  ;1.0665561 ;cluster_5 
