median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);cluster
3378.5   ;16180.5  ;0.1288050;4.000043 ;3.221892 ;cluster_0
3365.0   ;17061.5  ;0.1269002;4.000043 ;3.221892 ;cluster_1
2949.5   ;13991.0  ;0.1235279;4.000043 ;3.221892 ;cluster_2
3450.0   ;17368.0  ;0.1241511;4.000043 ;3.221892 ;cluster_3
2487.0   ; 8921.0  ;0.1153131;4.000043 ;3.221892 ;cluster_4
2725.5   ;12730.0  ;0.1165389;4.000043 ;3.221892 ;cluster_5
