median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3378.5   ;16180.5  ;0.1320520;3.096953 ;2.318802 ;0.2126393;4.000043 ;3.221892 ;cluster_0
3365.0   ;17061.5  ;0.1303900;3.045801 ;2.267650 ;0.2335260;4.000043 ;3.221892 ;cluster_1
2949.5   ;13991.0  ;0.1252063;2.853915 ;2.075764 ;0.2709345;4.000043 ;3.221892 ;cluster_2
3450.0   ;17368.0  ;0.1261789;3.000043 ;2.221892 ;0.2176878;4.000043 ;3.221892 ;cluster_3
2487.0   ; 8921.0  ;0.1198003;2.699013 ;1.920862 ;0.2259929;4.000043 ;3.221892 ;cluster_4
2725.5   ;12730.0  ;0.1094744;2.387260 ;1.609108 ;0.3138554;4.000043 ;3.221892 ;cluster_5
