median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);cluster
3378.5   ;16180.5  ;0.1669689;4.000043 ;3.221892 ;cluster_0
3365.0   ;17061.5  ;0.1662589;4.000043 ;3.221892 ;cluster_1
2949.5   ;13991.0  ;0.1602805;4.000043 ;3.221892 ;cluster_2
3450.0   ;17368.0  ;0.1593469;4.000043 ;3.221892 ;cluster_3
2487.0   ; 8921.0  ;0.1485122;4.000043 ;3.221892 ;cluster_4
2725.5   ;12730.0  ;0.1555258;4.000043 ;3.221892 ;cluster_5
