CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
17x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
17x15_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
17x16_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
17x17_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
17x18_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
17x19_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
17x20_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
17x21_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
17x22_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
17x24_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
17x25_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
18x10_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
18x11_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
18x12_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
18x13_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
18x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
18x15_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
18x16_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
18x17_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
18x18_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
18x19_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
18x20_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
18x21_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
18x22_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
18x23_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
18x24_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
18x25_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
18x26_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
19x10_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
19x11_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
19x12_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
19x13_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
19x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
19x15_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
19x16_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
19x17_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
19x18_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
19x19_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
19x20_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
19x22_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
19x23_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
19x24_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
19x25_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
19x26_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
20x11_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
20x12_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
20x13_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
20x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
20x15_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
20x16_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
20x17_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
20x21_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
20x22_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
20x23_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
20x24_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
20x25_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
20x26_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
21x13_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
21x14_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
21x15_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
21x22_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
21x23_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
21x24_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
21x25_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
21x26_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
21x27_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
22x20_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
22x21_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
22x22_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
22x23_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
22x24_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
22x25_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
22x26_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
22x27_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
