"Slc18a2"
"Adra2a"
"Adra2c"
"Drd2"
"Htr2a"
"Oprk1"
"Htr1a"
"Grin1"
"Grin2a"
"Grin2b"
"Grin2c"
"Grin2d"
"Grin3a"
"Htr2c"
"Aldh5a1"
"Adra1b"
"Adrb1"
"Adrb2"
"Adrb3"
"Adora2a"
"Adora1"
"Adora2b"
"Ache"
"Ghr"
"Gabrb1"
"Gabrg2"
"Chrna4"
"Chrnb2"
"Hrh3"
"Ddc"
"Gria1"
"Gria2"
"Gria3"
"Gria4"
"Htr3a"
"Hrh1"
"Scn1a"
"Scn2a"
"Scn3a"
"Scn5a"
"Scn7a"
"Scn8a"
"Scn9a"
"Oxtr"
"Scnn1a"
