symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
PGS1	0.3412953078839534	0.5614048658577604	No data	No data	No data	No data	No data	No data	phosphatidylglycerophosphate synthase 1
PDGFD	0.34121780401854884	0.5612773778842788	No data	No data	No data	No data	No data	No data	platelet derived growth factor D
SLC22A2	0.3407797242882122	0.5605567699926277	No data	No data	No data	No data	No data	No data	solute carrier family 22 member 2
DDX18	0.33930514407408	0.5581311975098298	No data	No data	No data	No data	No data	No data	DEAD-box helicase 18
CERT1	0.3390350544075709	0.5576869205171684	No data	No data	No data	No data	No data	No data	ceramide transporter 1
PLCG1	0.3390084901156188	0.5576432242740162	No data	No data	No data	No data	No data	No data	phospholipase C gamma 1
BRCA2	0.3383478935666752	0.556556593112149	No data	No data	No data	No data	No data	No data	BRCA2 DNA repair associated
TCF12	0.3379835220339368	0.555957229608655	No data	No data	No data	No data	No data	No data	transcription factor 12
ZNF827	0.33791314836906144	0.5558414702736257	No data	No data	No data	No data	No data	No data	zinc finger protein 827
FAT4	0.3376845347700044	0.5554654182625165	No data	No data	No data	No data	No data	No data	FAT atypical cadherin 4
SLC22A5	0.3372281132670918	0.5547146395477257	No data	No data	No data	No data	No data	No data	solute carrier family 22 member 5
ANKDD1B	0.33718102322058535	0.554637179996916	No data	No data	No data	No data	No data	No data	ankyrin repeat and death domain containing 1B
ASAH2B	0.3370514141015616	0.5544239828377443	No data	No data	No data	No data	No data	No data	N-acylsphingosine amidohydrolase 2B
GUCY1A1	0.3361911502481817	0.553008914121437	No data	No data	No data	No data	No data	No data	guanylate cyclase 1 soluble subunit alpha 1
FTO	0.3344473988097967	0.5501405754137492	No data	No data	No data	No data	No data	No data	FTO alpha-ketoglutarate dependent dioxygenase
LAMC1	0.3343817863984659	0.5500326479792639	No data	No data	No data	No data	No data	No data	laminin subunit gamma 1
AFF1	0.3339262664227382	0.5492833522082365	No data	No data	No data	No data	No data	No data	ALF transcription elongation factor 1
KCNK17	0.33347588463567696	0.5485425083674068	No data	No data	No data	No data	No data	No data	potassium two pore domain channel subfamily K member 17
THADA	0.3333392324214885	0.5483177258514933	No data	No data	No data	No data	No data	No data	THADA armadillo repeat containing
FBLN1	0.33219882171172865	0.5464418368288608	No data	No data	No data	No data	No data	No data	fibulin 1
SLC2A2	0.33217027254769144	0.5463948756218462	No data	No data	No data	No data	No data	No data	solute carrier family 2 member 2
GATA6	0.33094255018643554	0.5443753655623472	No data	No data	No data	No data	No data	No data	GATA binding protein 6
FMO3	0.33002826467672286	0.5428714353234045	No data	No data	No data	No data	No data	No data	flavin containing dimethylaniline monoxygenase 3
TNPO1	0.3297176943708885	0.5423605707528736	No data	No data	No data	No data	No data	No data	transportin 1
PSRC1	0.3284844678557502	0.5403320067781856	No data	No data	No data	No data	No data	No data	proline and serine rich coiled-coil 1
APOA4	0.32834920449195515	0.5401095088157095	No data	No data	No data	No data	No data	No data	apolipoprotein A4
TOX2	0.32786569303675067	0.5393141691864226	No data	No data	No data	No data	No data	No data	TOX high mobility group box family member 2
ITSN2	0.32770208422471264	0.5390450451139447	No data	No data	No data	No data	No data	No data	intersectin 2
TOMM40	0.32742907409588273	0.5385959641825253	No data	No data	No data	No data	No data	No data	translocase of outer mitochondrial membrane 40
SPC24	0.3269874168893352	0.5378694716141562	No data	No data	No data	No data	No data	No data	SPC24 component of NDC80 kinetochore complex
DENND4C	0.32673480817815526	0.5374539494656282	No data	No data	No data	No data	No data	No data	DENN domain containing 4C
FADS2	0.3263995625009858	0.5369024957829286	No data	No data	No data	No data	No data	No data	fatty acid desaturase 2
DNAH10	0.3252160888264343	0.5349557714531183	No data	No data	No data	No data	No data	No data	dynein axonemal heavy chain 10
CCDC92	0.32367871812521265	0.5324269133869346	No data	No data	No data	No data	No data	No data	coiled-coil domain containing 92
CYP26C1	0.32319321508684795	0.5316282977545763	No data	No data	No data	No data	No data	No data	cytochrome P450 family 26 subfamily C member 1
MCHR2	0.32266366043807704	0.5307572205680752	No data	No data	No data	No data	No data	No data	melanin concentrating hormone receptor 2
TET2	0.3220149868465828	0.529690201765865	No data	No data	No data	No data	No data	No data	tet methylcytosine dioxygenase 2
RAB21	0.32163761359880416	0.5290694514283903	No data	No data	No data	No data	No data	No data	RAB21, member RAS oncogene family
MLIP	0.32142979506984826	0.5287276057285634	No data	No data	No data	No data	No data	No data	muscular LMNA interacting protein
BMAL1	0.32056935498706074	0.5273122471282623	No data	No data	No data	No data	No data	No data	basic helix-loop-helix ARNT like 1
BANF2	0.3201941818626268	0.5266951158266275	No data	No data	No data	No data	No data	No data	BANF family member 2
ST13	0.3192685107076806	0.5251724570658229	No data	No data	No data	No data	No data	No data	ST13 Hsp70 interacting protein
BRWD1	0.3190105877732234	0.5247481934235293	No data	No data	No data	No data	No data	No data	bromodomain and WD repeat domain containing 1
UGT1A1	0.31854669356614	0.5239851226778032	No data	No data	No data	No data	No data	No data	UDP glucuronosyltransferase family 1 member A1
SGMS1	0.3177136014936554	0.5226147494778312	No data	No data	No data	No data	No data	No data	sphingomyelin synthase 1
RFLNA	0.3159330096188555	0.5196858110496493	No data	No data	No data	No data	No data	No data	refilin A
FGF1	0.3155856905220171	0.5191144975083665	No data	No data	No data	No data	No data	No data	fibroblast growth factor 1
B4GALT1	0.31522550660193277	0.51852202230971	No data	No data	No data	No data	No data	No data	beta-1,4-galactosyltransferase 1
ANXA9	0.3145896413746337	0.517476072294022	No data	No data	No data	No data	No data	No data	annexin A9
SESN1	0.3145404588370959	0.517395170754355	No data	No data	No data	No data	No data	No data	sestrin 1
CBLC	0.31396976192913956	0.5164564176755532	No data	No data	No data	No data	No data	No data	Cbl proto-oncogene C
NR1I2	0.31274344458437175	0.5144392187614899	No data	No data	No data	No data	No data	No data	nuclear receptor subfamily 1 group I member 2
CFL2	0.3125562919365112	0.5141313668668402	No data	No data	No data	No data	No data	No data	cofilin 2
