Gene,Annotation,Median_GSS,PCC
DNM1,15,1.783203125,0.5022735942866171
ATP5MD,16,1.7314453125,0.5022709457406994
FAM241B,11,2.26953125,0.5022707753228107
RNF10,15,2.046875,0.5022634636074388
PHTF1,16,2.697265625,0.5021731097190435
SCOC,10,2.005859375,0.5019340299048071
L3MBTL2,15,2.4296875,0.50177281242696
WDR33,15,2.412109375,0.5017204909773875
TRIM2,16,2.140625,0.5016544365425731
TMEM127,15,2.017578125,0.501493315474345
LASP1,9,2.43359375,0.5014412260968683
CPNE4,15,4.1328125,0.5013449818490998
CRBN,16,3.064453125,0.5013150099914615
LRPPRC,13,2.5185546875,0.5012769419344068
EBAG9,16,2.40625,0.5011550237532472
PDCD6,16,2.40234375,0.5010232987707778
YTHDF1,16,2.521484375,0.5009753696092363
ASB6,16,2.275390625,0.500746998012066
GRIK3,8,3.9267578125,0.5007214565506685
RAPH1,9,2.1689453125,0.5006445457454859
CCDC106,12,3.2109375,0.5006176039597928
CCDC92,10,2.314453125,0.5005573977453075
EMC6,15,2.205078125,0.5005564637272149
KCNJ11,9,2.6240234375,0.5005280586407885
PI4K2A,15,2.541015625,0.5004577290537645
CIZ1,16,2.51171875,0.5004427965601419
DRG2,16,2.130859375,0.5004368273061122
RCAN1,16,2.52734375,0.5003977390322423
DYNLRB1,0,1.75,0.5003636032627474
PRKACA,12,2.033203125,0.5003434914668149
PSMA6,12,1.9619140625,0.50033272226701
TMEM256-PLSCR3,13,1.896484375,0.5002456307841104
NCK2,16,3.54296875,0.5001346296599409
HSPD1,12,2.056640625,0.5001160620284337
LIAS,16,2.521484375,0.5001104889800504
ICE1,11,2.15625,0.5000295205324176
PPM1L,3,2.796875,0.5000191504152726
NR4A1,16,5.859375,0.5000149190778913
SNRNP200,16,2.484375,0.4999800060171748
MEN1,16,2.517578125,0.4999760339133258
GUK1,15,1.958984375,0.49985682450657004
REEP1,10,2.673828125,0.49964837430244374
SESTD1,3,2.490234375,0.4996312627452211
CNIH2,16,1.9423828125,0.4995638676456736
DIPK1A,16,2.708984375,0.49946245870268696
RUNDC1,13,3.0390625,0.49943744497120934
NPY1R,7,2.736328125,0.499373356713328
SPNS1,16,2.50390625,0.4993718488813843
TRANK1,13,2.6171875,0.4993008732961106
LYPLA2,16,3.15234375,0.49923285136251133
SOD1,12,1.8046875,0.4992232136573111
CCDC25,12,2.263671875,0.4991512194690974
CCK,16,1.9501953125,0.4991415631768967
DGCR2,12,2.5078125,0.4990399827248416
EIF5,12,1.8994140625,0.4989821967283084
GATD1,16,2.68359375,0.498916833946599
POC5,16,2.310546875,0.49867753398291403
CLTC,15,1.798828125,0.49861731793300745
TSHZ3,9,2.560546875,0.4985845506259112
TMEM245,5,1.9765625,0.49852636667054734
CCT8,12,2.0625,0.49839733803784975
UBE2A,16,2.8828125,0.49829593891853374
EPB41L1,8,2.103515625,0.4982028989011674
RAP1B,16,2.625,0.49816669272426
ATXN7L3B,16,1.876953125,0.4981537419072711
CFAP36,12,2.357421875,0.498122304911522
VIPR1,8,2.18359375,0.4979909121585121
PLEKHA5,16,2.990234375,0.4978679698438902
SRCIN1,8,2.078125,0.4978310224686257
ADGRL2,16,3.78515625,0.4977480930234612
MRPL49,16,2.78125,0.4973746415062769
ANGPTL6,8,2.0712890625,0.49733404337214343
NUAK1,9,2.98046875,0.4973029405076453
INO80E,16,2.458984375,0.4972966922149337
SLC45A1,15,2.59375,0.49722318594609843
FRMD6,7,2.48046875,0.49693419407431866
FAM110B,16,2.701171875,0.4967942828933133
TXNDC9,16,2.4296875,0.4967910964191717
PRKAG2,16,3.619140625,0.49678033698883883
SEL1L,16,2.421875,0.49667102285405007
TUBA8,15,3.048828125,0.49641089260882104
TCEAL9,12,2.376953125,0.4963232479608231
CYB561D1,7,2.091796875,0.49622623579304537
GPAT4,12,2.298828125,0.4961754352937094
