median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);cluster
1499.5   ;5182.5   ;0.1600209;4.000043 ;3.221892 ;cluster_0
1759.5   ;6879.5   ;0.1522096;4.000043 ;3.221892 ;cluster_1
1676.5   ;6086.0   ;0.1485306;4.000043 ;3.221892 ;cluster_2
1644.0   ;6461.5   ;0.1556942;4.000043 ;3.221892 ;cluster_3
1811.0   ;7275.0   ;0.1579029;4.000043 ;3.221892 ;cluster_4
1340.5   ;4237.0   ;0.1657424;4.000043 ;3.221892 ;cluster_5
