CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
16x42_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
16x44_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
16x46_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
16x48_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
16x50_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
16x52_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
16x54_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
17x27_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
17x29_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
17x31_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
17x33_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
17x35_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
17x37_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
17x39_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
17x41_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
17x43_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
17x45_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
17x47_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
17x49_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
17x51_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
17x53_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
17x55_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
18x26_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
18x28_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
18x30_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
18x32_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
18x34_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
18x36_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
18x38_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
18x40_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
18x42_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
18x44_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
18x46_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
18x48_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
18x50_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
18x52_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
18x54_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
19x25_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
19x27_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
19x29_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
19x31_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
19x33_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
19x35_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
19x37_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
19x39_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
19x41_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
19x43_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
19x45_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
19x47_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
19x49_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
19x51_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
19x53_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
19x55_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
20x24_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
20x26_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
20x28_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
20x30_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
20x32_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
20x34_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
20x36_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
20x38_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
20x40_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
20x42_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
20x44_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
20x46_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
20x48_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
20x50_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
20x52_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
20x54_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
21x25_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
21x27_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
21x29_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
21x31_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
21x33_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
21x35_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
21x37_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
21x39_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
21x41_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
21x43_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
21x45_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
21x47_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
21x49_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
21x51_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
21x53_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
21x55_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
22x24_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
22x26_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
22x28_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
22x30_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
22x32_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
22x34_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
22x36_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
22x38_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
22x40_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
22x42_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
22x44_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
22x46_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
22x48_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
22x50_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
22x52_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
22x54_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
23x23_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
23x25_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
23x27_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
23x29_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
23x31_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
23x33_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
23x35_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
23x37_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
23x39_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
23x41_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
23x43_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
23x45_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
23x47_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
23x49_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
23x51_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
23x53_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
23x55_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
